package,provides
"geocode-glib","libgeocode-glib.so=0-64"
"geoipupdate","geoip2-database"
"ghc-libs","haskell-array=0.5.4.0"
"ghc-libs","haskell-base=4.16.4.0"
"ghc-libs","haskell-binary=0.8.9.0"
"ghc-libs","haskell-bytestring=0.11.4.0"
"ghc-libs","haskell-cabal=3.6.3.0"
"ghc-libs","haskell-containers=0.6.5.1"
"ghc-libs","haskell-deepseq=1.4.6.1"
"ghc-libs","haskell-directory=1.3.6.2"
"ghc-libs","haskell-exceptions=0.10.4"
"ghc-libs","haskell-filepath=1.4.2.2"
"ghc-libs","haskell-ghc-bignum=1.2"
"ghc-libs","haskell-ghc-boot=9.2.8"
"ghc-libs","haskell-ghc-boot-th=9.2.8"
"ghc-libs","haskell-ghc-compact=0.1.0.0"
"ghc-libs","haskell-ghc-heap=9.2.8"
"ghc-libs","haskell-ghc-pkg=9.2.8"
"ghc-libs","haskell-ghc-prim=0.8.0"
"ghc-libs","haskell-ghci=9.2.8"
"ghc-libs","haskell-ghci=9.2.8"
"ghc-libs","haskell-haskeline=0.8.2"
"ghc-libs","haskell-hpc=0.6.1.0"
"ghc-libs","haskell-integer-gmp=1.1"
"ghc-libs","haskell-libiserv=9.2.8"
"ghc-libs","haskell-mtl=2.2.2"
"ghc-libs","haskell-parsec=3.1.15.0"
