package,replaces
"python-astroid","python-logilab-astng"
"python-cairosvg","cairosvg"
"python-cpplint","cpplint-py3"
"python-dbus-docs","dbus-python-docs"
"python-dbus","dbus-python"
"python-dbus","python-dbus-common"
"python-django-q2","python-django-q"
"python-docker","python-docker-py"
"python-flufl.bounce","python-flufl-bounce"
"python-flufl.i18n","python-flufl-i18n"
"python-ghp-import","ghp-import"
"python-gobject","pygobject-devel<=3.36.1-1"
"python-hcloud","hcloud-python"
"python-html2text","html2text"
"python-i3ipc","i3ipc-python"
"python-jaraco.classes","python-jaraco"
"python-jaraco.collections","python-jaraco"
"python-jaraco.functools","python-jaraco"
"python-jaraco.itertools","python-jaraco"
"python-jaraco.logging","python-jaraco"
"python-jaraco.stream","python-jaraco"
"python-jaraco.text","python-jaraco"
"python-jupyter-client","python-jupyter_client"
"python-jupyter-core","python-jupyter_core"
"python-jupyter-packaging","python-jupyter_packaging"
"python-jupyterlab-server","jupyterlab_server"
"python-jupyterlab-server","python-jupyterlab_server"
"python-keras","python-keras-preprocessing"
"python-lazr.config","python-lazr-config"
"python-nest-asyncio","python-nest_asyncio"
"python-olefile","python3-olefileio"
"python-osmium","pyosmium"
"python-path","python-path.py"
"python-pillow-heif","python-pillow_heif"
"python-pyasn1","pyasn1"
"python-pycryptodome","python-crypto"
"python-pycuda","pycuda-headers"
"python-pygments","pygmentize"
"python-pylint-plugin-utils","python-pylint-plugin-utils"
"python-pylint-plugin-utils","python-pylint-plugin-utils-git"
"python-pylint-pydantic","python-pylint-pydantic"
"python-pylint-pydantic","python-pylint-pydantic-git"
"python-pymdown-extensions","pymdown-extensions"
"python-pynvim","python-neovim"
"python-pyparted","pyparted"
"python-pyqt5-webengine","python-pyqtwebengine"
"python-pysocks","python-socks"
"python-pythia8","python-pythia"
"python-python-socks","python-python_socks"
"python-pywlroots","pywlroots"
"python-pyxdg","python-xdg<0.26-5"
"python-qscintilla-qt5","python-qscintilla-qt5-common"
"python-service-identity","python-service_identity"
"python-setuptools","python-distribute"
"python-sgmllib3k","python-sgmllib"
"python-simplesoapy","simplesoapy"
"python-simplespectral","simplespectral"
"python-sphinxcontrib-jquery","python-sphinxcontrib.jquery"
"python-stem","stem"
"python-update-checker","python-update_checker"
"python-virtualenv","virtualenv"
"python-z3-solver","python-z3"
"python","python-externally-managed"
"python","python3"
"qca-qt5","qca"
"qcoro","qcoro-qt6"
"qcustomplot","qcustomplot-qt5"
"qqc2-desktop-style5","qqc2-desktop-style<5.111"
"qtkeychain-qt5","qtkeychain"
"qtqr","python-qrtools"
"quassel-client-qt","quassel-client-small"
"quassel-client-qt","quassel-remote"
"quazip-qt5","quazip"
"qwt","qwtpolar"
"r2ghidra","r2ghidra-dec"
"racket","racket-docs"
"rage-encryption","rust-rage"
"rdma-core","ibacm"
"rdma-core","infiniband-diags"
"rdma-core","libcxgb3"
"rdma-core","libcxgb4"
"rdma-core","libibcm"
"rdma-core","libibmad"
"rdma-core","libibumad"
"rdma-core","libibverbs"
"rdma-core","libiwpm"
"rdma-core","libmlx4"
"rdma-core","libmlx5"
"rdma-core","libmthca"
"rdma-core","libnes"
"rdma-core","libocrdma"
"rdma-core","librdmacm"
"rdma-core","rdma"
"rdma-core","srptools"
"remmina","remmina-plugins"
